term,raw_count_domain,category,bert_token_count,bert_tokens,llama4_token_count,llama4_tokens,gemma4_token_count,gemma4_tokens,openai_token_count,openai_tokens,mistral_token_count,mistral_tokens
highlock,1,1,2,high | ##lock,2,high | lock,2,high | lock,2,high | lock,2,high | lock
missingabradable,1,1,4,missing | ##ab | ##rada | ##ble,4,missing | ab | rad | able,4,missing | ab | rad | able,4,missing | abr | ad | able,4,missing | ab | rad | able
abradabel,1,1,3,ab | ##rada | ##bel,3,ab | rad | abel,3,ab | rad | abel,3,abr | ad | abel,3,ab | rad | abel
brescope,1,1,3,br | ##es | ##cope,2,bres | cope,2,bres | cope,2,bres | cope,2,bres | cope
gaspath,1,1,2,gasp | ##ath,2,gas | path,2,gas | path,2,gas | path,2,gas | path
metco,1,1,2,met | ##co,2,met | co,2,met | co,2,met | co,2,met | co
airspeed,1,1,2,airs | ##peed,2,airs | peed,2,airs | peed,2,airs | peed,2,airs | peed
tipclearance,51,1,4,tip | ##cle | ##aran | ##ce,3,tip | clear | ance,3,tip | clear | ance,3,tip | clear | ance,3,tip | clear | ance
thrustlink,28,1,2,thrust | ##link,3,th | rust | link,2,thrust | link,3,th | rust | link,3,th | rust | link
boroscope,14,1,3,bo | ##ros | ##cope,2,bor | oscope,2,bor | oscope,2,bor | oscope,2,bor | oscope
combuster,12,1,3,comb | ##ust | ##er,2,comb | uster,2,comb | uster,2,comb | uster,2,comb | uster
tipcurl,6,1,3,tip | ##cu | ##rl,2,tip | curl,2,tip | curl,2,tip | curl,2,tip | curl
fuelmanifold,2,1,3,fuel | ##mani | ##fold,3,fuel | man | ifold,2,fuel | manifold,3,fuel | man | ifold,5,f | uel | man | if | old
trustlink,2,1,2,trust | ##link,2,trust | link,2,trust | link,2,trust | link,3,tr | ust | link
tiprub,2,1,3,tip | ##ru | ##b,3,ti | pr | ub,2,tip | rub,2,tip | rub,3,ti | pr | ub
sfcm,2,1,2,sf | ##cm,2,sf | cm,2,sf | cm,2,sf | cm,2,sf | cm
faninlet,1,1,3,fan | ##in | ##let,3,fan | in | let,3,fan | in | let,2,fanin | let,3,fan | in | let
birdgace,1,1,3,bird | ##ga | ##ce,3,bird | g | ace,3,bird | g | ace,3,bird | g | ace,3,bird | g | ace
fanmodule,1,1,4,fan | ##mo | ##du | ##le,2,fan | module,2,fan | module,2,fan | module,2,fan | module
precoolervalve,1,1,5,pre | ##co | ##ole | ##rval | ##ve,4,pre | cool | erval | ve,4,prec | ool | erval | ve,4,prec | ool | erv | alve,5,pre | cool | erv | al | ve
restrictioniaw,1,1,3,restriction | ##ia | ##w,3,restriction | ia | w,3,restriction | ia | w,3,restriction | ia | w,4,rest | riction | ia | w
tipshrouds,1,1,4,tips | ##hr | ##oud | ##s,4,tip | sh | ro | uds,4,tip | sh | rou | ds,4,tip | sh | rou | ds,4,tip | sh | ro | uds
upperbleed,1,1,3,upper | ##ble | ##ed,3,upper | ble | ed,2,upper | bleed,3,upper | ble | ed,3,upper | ble | ed
fanblades,1,1,3,fan | ##bla | ##des,3,fan | bl | ades,3,fan | bl | ades,3,fan | bl | ades,3,fan | bl | ades
fairing,1,1,2,fair | ##ing,2,fair | ing,2,fair | ing,2,fair | ing,2,fair | ing
abradable,320,1,3,ab | ##rada | ##ble,3,ab | rad | able,3,ab | rad | able,3,abr | ad | able,3,ab | rad | able
starterduct,20,1,3,starter | ##du | ##ct,2,starter | duct,2,starter | duct,2,starter | duct,3,st | arter | duct
exiter,24,1,2,exit | ##er,2,ex | iter,2,ex | iter,2,ex | iter,2,ex | iter
precooler,27,1,4,pre | ##co | ##ole | ##r,3,pre | co | oler,3,prec | ool | er,3,prec | ool | er,3,pre | co | oler
guidepad,8,1,2,guide | ##pad,2,guide | pad,2,guide | pad,2,guide | pad,2,guide | pad
sprayshield,8,1,3,spray | ##shi | ##eld,4,sp | rays | h | ield,4,spr | ays | h | ield,4,spr | ays | h | ield,4,sp | rays | h | ield
frontcone,6,1,3,front | ##con | ##e,2,front | cone,2,front | cone,2,front | cone,2,front | cone
borescoop,6,1,3,bore | ##sco | ##op,3,b | ores | coop,3,bo | resco | op,3,bo | res | coop,4,b | ores | co | op
boroscoop,6,1,4,bo | ##ros | ##co | ##op,3,bor | os | coop,4,bor | os | co | op,3,bor | os | coop,4,bor | os | co | op
flowcheck,6,1,3,flow | ##che | ##ck,2,flow | check,2,flow | check,2,flow | check,2,flow | check
thrust,154,1,1,thrust,2,th | rust,1,thrust,2,th | rust,2,th | rust
shopvisit,5,1,3,shop | ##vis | ##it,2,shop | visit,2,shop | visit,2,shop | visit,2,shop | visit
oclock,8,1,3,o | ##cl | ##ock,2,oc | lock,2,oc | lock,2,oc | lock,2,oc | lock
exciterboxe,4,1,5,ex | ##cite | ##rb | ##ox | ##e,4,exc | iter | box | e,4,exc | iter | box | e,4,exc | iter | box | e,4,exc | iter | box | e
arrestor,10,1,2,arrest | ##or,2,arr | estor,2,arrest | or,3,ar | rest | or,2,arr | estor
bumperseal,3,1,3,bumper | ##sea | ##l,4,b | ump | erse | al,2,bumper | seal,3,bum | per | seal,4,bum | per | se | al
cowl,14,1,2,cow | ##l,2,c | owl,2,c | owl,2,c | owl,2,c | owl
reverser,6,1,2,reverse | ##r,2,re | verser,3,re | vers | er,3,re | vers | er,3,re | vers | er
chord,18,1,1,chord,2,ch | ord,1,chord,2,ch | ord,2,ch | ord
clockposition,2,1,2,clock | ##position,2,clock | position,2,clock | position,2,clock | position,2,clock | position
strutpanel,2,1,4,st | ##rut | ##pan | ##el,3,str | ut | panel,3,str | ut | panel,3,str | ut | panel,3,str | ut | panel
thrusth,2,1,2,thrust | ##h,3,th | rust | h,2,thrust | h,3,th | rust | h,3,th | rust | h
trusth,2,1,2,trust | ##h,2,trust | h,2,trust | h,2,trust | h,3,tr | ust | h
oilcoking,2,1,3,oil | ##co | ##king,3,oil | c | oking,3,oil | c | oking,3,oil | c | oking,4,o | il | c | oking
blendrepair,2,1,4,blend | ##re | ##pa | ##ir,3,bl | endre | pair,3,bl | endre | pair,3,bl | endre | pair,3,bl | endre | pair
swirler,2,1,2,swirl | ##er,3,sw | ir | ler,3,sw | ir | ler,3,sw | ir | ler,3,sw | ir | ler
pylon,5,1,3,p | ##yl | ##on,2,p | ylon,2,p | ylon,2,p | ylon,2,p | ylon
trimpin,2,1,2,trim | ##pin,2,tr | impin,2,trim | pin,2,tr | impin,2,tr | impin
bird,14,1,1,bird,1,bird,1,bird,1,bird,1,bird
pilot,14,1,1,pilot,2,p | ilot,1,pilot,1,pilot,2,pil | ot
doubler,2,1,2,double | ##r,3,do | ub | ler,2,dou | bler,3,d | oub | ler,3,d | ou | bler
heli,2,1,2,he | ##li,1,heli,1,heli,1,heli,2,he | li
nosegill,1,1,2,nose | ##gill,3,nos | eg | ill,2,nose | gill,3,nose | g | ill,4,n | ose | g | ill
sealwire,1,1,2,seal | ##wire,3,se | al | wire,2,seal | wire,2,seal | wire,3,se | al | wire
igniterside,1,1,3,ign | ##iter | ##side,3,ign | iters | ide,3,ign | iters | ide,3,ign | iters | ide,3,ignit | ers | ide
abradabe,1,1,3,ab | ##rada | ##be,3,ab | rad | abe,3,ab | rad | abe,3,abr | ad | abe,3,ab | rad | abe
bladeshave,1,1,3,blades | ##ha | ##ve,3,bl | ades | have,3,bl | adesh | ave,3,bl | adesh | ave,3,bl | adesh | ave
fanframe,1,1,2,fan | ##frame,2,fan | frame,2,fan | frame,2,fan | frame,2,fan | frame
strutpanels,1,1,4,st | ##rut | ##pan | ##els,4,str | ut | pan | els,3,str | ut | panels,4,str | ut | pan | els,4,str | ut | pan | els
fanblad,1,1,3,fan | ##bla | ##d,2,fan | blad,2,fan | blad,2,fan | blad,2,fan | blad
exiterbox,1,1,3,exit | ##er | ##box,3,ex | iter | box,3,ex | iter | box,3,ex | iter | box,3,ex | iter | box
repairablelimit,1,1,4,repair | ##able | ##lim | ##it,4,rep | ai | rable | limit,3,repair | able | limit,3,repair | able | limit,4,rep | ai | rable | limit
tubeservo,1,1,3,tubes | ##er | ##vo,3,t | ubes | ervo,3,tub | es | ervo,3,t | ubes | ervo,3,t | ubes | ervo
findinglpc,1,1,3,finding | ##lp | ##c,3,finding | l | pc,3,finding | l | pc,3,finding | l | pc,4,f | inding | l | pc
trhust,1,1,3,tr | ##hus | ##t,3,tr | h | ust,3,tr | h | ust,3,tr | h | ust,3,tr | h | ust
stotor,1,1,3,st | ##oto | ##r,2,st | otor,2,st | otor,2,st | otor,2,st | otor
xcrack,1,1,3,x | ##cr | ##ack,2,xc | rack,2,x | crack,3,x | cr | ack,2,xc | rack
iceduct,1,1,3,iced | ##uc | ##t,2,iced | uct,2,iced | uct,2,iced | uct,2,iced | uct
scavence,1,1,3,sc | ##ave | ##nce,3,sc | av | ence,3,sc | av | ence,3,sc | av | ence,3,sc | av | ence
savenge,1,1,2,save | ##nge,3,s | aven | ge,2,sav | enge,3,s | aven | ge,3,s | aven | ge
birdremain,1,1,3,bird | ##rem | ##ain,2,bird | remain,2,bird | remain,2,bird | remain,3,bird | rem | ain
servicelimit,1,1,3,service | ##lim | ##it,3,serv | icel | imit,3,servic | el | imit,4,serv | ic | el | imit,4,serv | ic | el | imit
atexciter,1,1,4,ate | ##x | ##cite | ##r,3,ate | xc | iter,3,ate | xc | iter,3,ate | xc | iter,3,ate | xc | iter
antiice,1,1,2,anti | ##ice,2,anti | ice,2,anti | ice,2,anti | ice,2,anti | ice
antieice,1,1,3,anti | ##ei | ##ce,2,antie | ice,2,antie | ice,2,antie | ice,3,ant | ie | ice
forengine,1,1,3,fore | ##ng | ##ine,2,for | engine,3,fore | ng | ine,2,for | engine,2,for | engine
gevlogen,1,1,4,ge | ##v | ##log | ##en,2,gev | logen,3,gev | log | en,2,gev | logen,3,gev | log | en
startduct,1,1,3,start | ##du | ##ct,2,start | duct,2,start | duct,2,start | duct,2,start | duct
tipclearane,1,1,4,tip | ##cle | ##aran | ##e,3,tip | clear | ane,3,tip | clear | ane,3,tip | clear | ane,3,tip | clear | ane
aftside,1,1,2,aft | ##side,2,aft | side,2,aft | side,2,aft | side,2,aft | side
ebris,1,1,3,e | ##bri | ##s,2,eb | ris,2,e | bris,2,eb | ris,2,eb | ris
inlb,1,1,2,in | ##lb,2,in | lb,2,in | lb,2,in | lb,2,in | lb
aviation,5,1,1,aviation,2,av | iation,1,aviation,2,avi | ation,2,avi | ation
fandisk,1,1,3,fan | ##dis | ##k,3,f | and | isk,2,fand | isk,3,f | and | isk,3,f | and | isk
axiak,1,1,3,ax | ##ia | ##k,2,axi | ak,2,ax | iak,2,axi | ak,2,ax | iak
idisk,1,1,2,id | ##isk,2,id | isk,2,id | isk,2,id | isk,2,id | isk
fedec,1,1,2,fed | ##ec,2,fed | ec,2,fed | ec,2,fed | ec,2,fed | ec
tedlar,1,1,2,ted | ##lar,2,ted | lar,2,ted | lar,2,ted | lar,2,ted | lar
egine,1,1,3,e | ##gin | ##e,2,eg | ine,2,eg | ine,2,eg | ine,2,eg | ine
midspan,1,1,3,mid | ##sp | ##an,2,mid | span,2,mid | span,2,mid | span,2,mid | span
lfu,1,1,2,l | ##fu,2,lf | u,2,l | fu,2,lf | u,2,lf | u
wing,5,1,1,wing,1,wing,1,wing,1,wing,1,wing
omn,1,1,2,om | ##n,1,omn,1,omn,1,omn,2,om | n
flight,4,1,1,flight,1,flight,1,flight,1,flight,1,flight
pilon,1,1,2,pi | ##lon,2,p | ilon,2,p | ilon,2,p | ilon,2,p | ilon
inflight,1,1,2,in | ##flight,2,in | flight,2,infl | ight,2,in | flight,2,in | flight
camber,1,1,2,cam | ##ber,2,cam | ber,2,c | amber,2,cam | ber,2,cam | ber
stag,1,1,2,st | ##ag,1,stag,1,stag,1,stag,1,stag
disbanding,1,1,4,di | ##sb | ##and | ##ing,3,dis | band | ing,2,dis | banding,3,dis | band | ing,3,dis | band | ing
feather,1,1,1,feather,2,fe | ather,1,feather,2,fe | ather,2,fe | ather
exciterbox,37,1,4,ex | ##cite | ##rb | ##ox,3,exc | iter | box,3,exc | iter | box,3,exc | iter | box,3,exc | iter | box
fanblade,179,1,3,fan | ##bla | ##de,2,fan | blade,2,fan | blade,2,fan | blade,3,fan | bl | ade
testcell,20,1,3,test | ##cel | ##l,2,test | cell,2,test | cell,2,test | cell,2,test | cell
bleed,503,1,1,bleed,2,ble | ed,1,bleed,2,ble | ed,2,ble | ed
spinner,169,1,2,spin | ##ner,1,spinner,1,spinner,1,spinner,2,sp | inner
testrun,8,1,2,test | ##run,2,test | run,2,test | run,3,tes | tr | un,2,test | run
blendable,9,1,2,blend | ##able,2,blend | able,2,blend | able,2,blend | able,3,bl | end | able
igniterplug,6,1,4,ign | ##iter | ##pl | ##ug,3,ign | iter | plug,3,ign | iter | plug,3,ign | iter | plug,3,ign | iter | plug
rotor,92,1,1,rotor,1,rotor,1,rotor,2,rot | or,2,rot | or
inspectionlot,5,1,2,inspection | ##lot,2,inspection | lot,2,inspection | lot,2,inspection | lot,3,ins | pection | lot
burnspot,4,1,2,burns | ##pot,2,burn | spot,2,burn | spot,2,burn | spot,2,burn | spot
outerskin,3,1,2,outer | ##skin,3,out | ers | kin,3,ou | ters | kin,3,ou | ters | kin,2,outer | skin
photofolder,2,1,3,photo | ##fold | ##er,3,phot | of | older,3,phot | of | older,3,phot | of | older,4,ph | ot | of | older
safetywire,2,1,2,safety | ##wire,3,s | afety | wire,2,safety | wire,3,s | afety | wire,3,s | afety | wire
fanduct,2,1,3,fan | ##du | ##ct,3,f | and | uct,2,fand | uct,3,f | and | uct,3,f | and | uct
withamm,2,1,3,with | ##am | ##m,2,with | amm,2,with | amm,2,with | amm,2,with | amm
innerliner,2,1,2,inner | ##liner,2,inner | liner,2,inner | liner,2,inner | liner,2,inner | liner
hanger,3,1,2,hang | ##er,2,h | anger,1,hanger,1,hanger,2,h | anger
rib,3,1,1,rib,1,rib,1,rib,1,rib,1,rib
fwdseal,1,1,4,f | ##wd | ##sea | ##l,3,fwd | se | al,3,f | wd | seal,3,f | wd | seal,4,f | wd | se | al
startervalve,1,1,3,starter | ##val | ##ve,3,starter | val | ve,2,starter | valve,3,starter | val | ve,4,st | arter | val | ve
fanpanel,1,1,3,fan | ##pan | ##el,2,fan | panel,2,fan | panel,2,fan | panel,2,fan | panel
contaimentcase,1,1,4,con | ##tai | ##ment | ##case,4,cont | a | iment | case,3,conta | iment | case,4,cont | a | iment | case,4,con | ta | iment | case
fancable,1,1,2,fan | ##cable,3,f | anc | able,3,f | anc | able,3,f | anc | able,3,f | anc | able
fuelheater,1,1,2,fuel | ##heater,3,fuel | he | ater,2,fuel | heater,2,fuel | heater,3,f | uel | heater
fueldiff,1,1,3,fuel | ##di | ##ff,2,fuel | diff,2,fuel | diff,3,fu | eld | iff,3,f | uel | diff
fromengine,1,1,3,from | ##eng | ##ine,2,from | engine,2,from | engine,2,from | engine,2,from | engine
tipworn,1,1,3,tip | ##wo | ##rn,3,tip | w | orn,2,tip | worn,3,tip | w | orn,3,tip | w | orn
coremodule,1,1,4,core | ##mo | ##du | ##le,3,cor | em | odule,2,core | module,2,core | module,4,cor | em | od | ule
cyclesacc,1,1,3,cycles | ##ac | ##c,2,cycles | acc,2,cycles | acc,2,cycles | acc,2,cycles | acc
trimbalance,1,1,2,trim | ##balance,3,tr | imb | alance,2,trim | balance,3,tr | imb | alance,2,trim | balance
tipcrack,1,1,3,tip | ##cr | ##ack,3,tip | c | rack,2,tip | crack,3,tip | cr | ack,3,tip | c | rack
ignitionlead,1,1,3,ignition | ##lea | ##d,3,ign | ition | lead,2,ignition | lead,3,ign | ition | lead,3,ign | ition | lead
iginitor,1,1,3,i | ##gin | ##itor,2,igin | itor,2,igin | itor,2,igin | itor,2,igin | itor
fiveblade,1,1,3,five | ##bla | ##de,2,five | blade,2,five | blade,2,five | blade,3,five | bl | ade
somevane,1,1,3,some | ##van | ##e,3,some | v | ane,3,some | v | ane,3,some | v | ane,3,some | v | ane
missingteflon,1,1,4,missing | ##te | ##fl | ##on,3,missing | te | flon,4,missing | te | fl | on,4,missing | te | fl | on,4,missing | te | fl | on
oilscavenge,1,1,3,oils | ##cave | ##nge,4,oil | sc | aven | ge,4,oil | sc | av | enge,4,oil | sc | aven | ge,5,o | ils | c | aven | ge
nozl,1,1,3,no | ##z | ##l,2,no | zl,2,no | zl,2,no | zl,3,no | z | l
unservicable,1,1,4,un | ##ser | ##vic | ##able,4,un | serv | ic | able,3,un | servic | able,4,un | serv | ic | able,4,un | serv | ic | able
ferro,1,1,2,fe | ##rro,2,fer | ro,2,fer | ro,2,fer | ro,2,fer | ro
fin,1,1,1,fin,1,fin,1,fin,1,fin,1,fin
lockwire,48,1,2,lock | ##wire,2,lock | wire,2,lock | wire,2,lock | wire,2,lock | wire
inlimit,3,1,3,in | ##lim | ##it,2,in | limit,2,in | limit,2,in | limit,2,in | limit
fuelpackage,2,1,3,fuel | ##pack | ##age,2,fuel | package,2,fuel | package,2,fuel | package,3,f | uel | package
bladest,1,1,2,blades | ##t,2,blad | est,2,blad | est,2,blad | est,2,blad | est
areo,1,1,2,are | ##o,2,are | o,2,are | o,1,areo,2,are | o
borescope,323,2,2,bore | ##scope,3,b | ores | cope,3,bo | res | cope,3,bo | res | cope,3,b | ores | cope
scavenge,192,2,3,sc | ##ave | ##nge,3,sc | aven | ge,3,sc | av | enge,3,sc | aven | ge,3,sc | aven | ge
igniter,88,2,2,ign | ##iter,2,ign | iter,2,ign | iter,2,ign | iter,2,ign | iter
turnbuckle,57,2,3,turn | ##buck | ##le,3,turn | buck | le,3,turn | buck | le,3,turn | b | uckle,3,turn | buck | le
servo,22,2,2,ser | ##vo,1,servo,1,servo,1,servo,2,serv | o
exciterside,2,2,4,ex | ##cite | ##rs | ##ide,4,ex | cit | ers | ide,4,ex | cit | ers | ide,4,ex | cit | ers | ide,4,ex | cit | ers | ide
spool,5,2,2,sp | ##ool,2,sp | ool,2,sp | ool,2,sp | ool,2,sp | ool
oilcooler,1,2,4,oil | ##co | ##ole | ##r,3,oil | co | oler,2,oil | cooler,3,oil | cool | er,4,o | il | co | oler
serviceablecondition,1,2,4,service | ##able | ##con | ##dition,3,service | able | condition,3,service | able | condition,3,service | able | condition,3,service | able | condition
schroud,16,2,3,sc | ##hr | ##oud,2,sch | roud,2,sch | roud,2,sch | roud,3,sch | ro | ud
scavange,14,2,3,sc | ##ava | ##nge,3,sc | av | ange,3,sc | av | ange,3,sc | av | ange,3,sc | av | ange
turbine,815,2,1,turbine,2,tur | bine,1,turbine,3,t | urb | ine,3,t | urb | ine
oiltank,8,2,3,oil | ##tan | ##k,3,o | ilt | ank,3,o | ilt | ank,3,o | ilt | ank,3,o | ilt | ank
abredable,6,2,3,ab | ##red | ##able,3,ab | red | able,3,ab | red | able,3,ab | red | able,3,ab | red | able
manifold,89,2,1,manifold,2,man | ifold,1,manifold,2,man | ifold,3,man | if | old
ignitor,10,2,2,ign | ##itor,2,ign | itor,2,ign | itor,2,ign | itor,2,ign | itor
pawl,13,2,2,paw | ##l,3,p | aw | l,2,paw | l,2,paw | l,3,p | aw | l
exentricity,4,2,4,ex | ##ent | ##ric | ##ity,3,ex | entric | ity,3,ex | entric | ity,3,ex | entric | ity,3,ex | entric | ity
lockpin,3,2,2,lock | ##pin,2,lock | pin,2,lock | pin,2,lock | pin,2,lock | pin
unserviceable,10,2,5,un | ##ser | ##vic | ##ea | ##ble,3,un | service | able,3,un | service | able,3,un | service | able,3,uns | ervice | able
labyrinth,21,2,1,labyrinth,2,lab | yrinth,1,labyrinth,2,lab | yrinth,2,lab | yrinth
trailing,33,2,1,trailing,2,tra | iling,1,trailing,2,tr | ailing,2,tra | iling
servicable,3,2,3,ser | ##vic | ##able,3,serv | ic | able,2,servic | able,3,serv | ic | able,3,serv | ic | able
jobcard,2,2,2,job | ##card,2,job | card,2,job | card,2,job | card,2,job | card
unbondend,2,2,4,un | ##bon | ##den | ##d,3,un | bond | end,3,un | bond | end,3,un | bond | end,3,un | bond | end
axialcrack,2,2,3,axial | ##cr | ##ack,3,axial | c | rack,2,axial | crack,4,ax | ial | cr | ack,3,axial | c | rack
nozzles,6,2,3,no | ##zzle | ##s,3,no | zz | les,2,no | zzles,3,no | zz | les,2,no | zzles
rodend,2,2,2,rode | ##nd,2,rod | end,2,rod | end,2,rod | end,2,rod | end
anodizing,3,2,3,an | ##od | ##izing,3,an | od | izing,3,an | od | izing,3,an | od | izing,3,an | od | izing
sulphidation,2,2,3,sul | ##phi | ##dation,4,sul | ph | id | ation,2,sulph | idation,5,s | ul | ph | id | ation,4,sul | ph | id | ation
disbonding,2,2,4,di | ##sb | ##ond | ##ing,3,dis | bond | ing,2,dis | bonding,3,dis | bond | ing,3,dis | bond | ing
nicks,5,2,2,nick | ##s,2,n | icks,2,n | icks,2,n | icks,2,n | icks
cotter,5,2,2,cot | ##ter,2,cot | ter,2,cot | ter,2,cot | ter,2,cot | ter
concentricity,2,2,3,con | ##centric | ##ity,3,con | centric | ity,3,con | centric | ity,3,con | centric | ity,4,con | cent | ric | ity
pigtail,2,2,2,pig | ##tail,3,p | igt | ail,3,p | igt | ail,3,p | igt | ail,3,p | igt | ail
blades,5,2,1,blades,2,bl | ades,2,bl | ades,2,bl | ades,2,bl | ades
baffle,2,2,2,ba | ##ffle,2,ba | ffle,2,b | affle,2,b | affle,3,ba | ff | le
scallop,2,2,3,sc | ##all | ##op,3,sc | all | op,3,sc | all | op,3,sc | all | op,3,sc | all | op
fuelnozzle,1,2,3,fuel | ##no | ##zzle,3,fuel | no | zzle,3,fuel | no | zzle,3,fuel | no | zzle,4,f | uel | no | zzle
vlve,1,2,3,v | ##l | ##ve,2,vl | ve,2,vl | ve,2,vl | ve,2,vl | ve
samenozzle,1,2,3,same | ##no | ##zzle,5,s | amen | oz | z | le,4,s | amen | ozz | le,5,s | amen | oz | z | le,5,s | amen | oz | z | le
blendabel,1,2,3,blend | ##abe | ##l,2,blend | abel,2,blend | abel,2,blend | abel,3,bl | end | abel
straterduct,1,2,5,st | ##rate | ##rd | ##uc | ##t,3,str | ater | duct,3,str | ater | duct,3,str | ater | duct,3,str | ater | duct
clockpos,1,2,3,clock | ##po | ##s,2,clock | pos,2,clock | pos,2,clock | pos,2,clock | pos
heatexhanger,1,2,4,heat | ##ex | ##hang | ##er,4,he | atex | h | anger,4,he | ate | xh | anger,4,he | ate | xh | anger,5,he | ate | x | h | anger
andradial,1,2,3,and | ##rad | ##ial,3,and | rad | ial,2,and | radial,3,and | rad | ial,3,and | rad | ial
sparkside,1,2,2,sparks | ##ide,3,spar | ks | ide,2,spark | side,3,spar | ks | ide,4,s | par | ks | ide
bootseal,1,2,2,boots | ##eal,3,boot | se | al,2,boot | seal,2,boot | seal,3,boot | se | al
sidefan,1,2,2,side | ##fan,2,side | fan,2,side | fan,2,side | fan,2,side | fan
drainetube,1,2,4,drain | ##et | ##ub | ##e,4,d | rain | et | ube,3,drain | et | ube,4,dr | ain | et | ube,4,d | rain | et | ube
